Holidays,Day,,
1,2023-01-26,Thursday,Republic Day
2,2023-03-07,Tuesday,Holi
3,2023-03-30,Thursday,Ram Navami
4,2023-04-04,Tuesday,Mahavir Jayanti
5,2023-04-07,Friday,Good Friday
6,2023-04-14,Friday,Dr. Baba Saheb Ambedkar Jayanti
7,2023-05-01,Monday,Maharashtra Day
8,2023-06-29,Thursday,Bakri Id
9,2023-08-15,Tuesday,Independence Day
10,2023-09-19,Tuesday,Ganesh Chaturthi
11,2023-10-02,Monday,Mahatma Gandhi Jayanti
12,2023-10-24,Tuesday,Dussehra
13,2023-11-14,Tuesday,Diwali-Balipratipada
14,2023-11-27,Monday,Gurunanak Jayanti
15,2023-12-25,Monday,Christmas
